cora
ACC,   NMI,   ARI,   F1
79.87, 61.02, 61.07, 78.11

cora
ACC,   NMI,   ARI,   F1
0.40, 0.20, 0.14, 0.37
0.42, 0.17, 0.13, 0.37
0.41, 0.01
0.18, 0.02
0.14, 0.01
0.37, 0.00
cora
ACC,   NMI,   ARI,   F1
0.42, 0.22, 0.16, 0.40
0.42, 0.22, 0.16, 0.40
0.42, 0.00
0.22, 0.00
0.16, 0.00
0.40, 0.00

ACC,   NMI,   ARI,   F1
0.34, 0.17, 0.10, 0.32

cora
ACC,   NMI,   ARI,   F1
